City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,Postal Code
League City,Texas,84096,86278,88242,90790,94121,97860,101669,104442,106005,107536,TX
Tyler,Texas,97140,98015,98941,99730,101557,102712,103904,104738,105668,106985,TX
Allen,Texas,84921,87680,89812,92173,94215,98344,99742,101214,103577,105623,TX
Wichita Falls,Texas,104790,103966,104628,104948,105208,103892,104075,104325,104356,104683,TX
Edinburg,Texas,82504,84796,86263,88355,90342,91780,92776,95427,98036,101170,TX
San Angelo,Texas,93626,94532,95841,97057,98567,99704,99790,99678,100009,101004,TX
Conroe,Texas,65731,67352,69662,70676,73779,76322,82068,84809,87578,91079,TX
New Braunfels,Texas,58059,59319,60885,63025,65902,70133,73351,78902,84495,90209,TX
Bryan,Texas,76517,77196,77832,78939,80667,82052,83171,84188,84817,86276,TX
Mission,Texas,78118,79728,80920,81486,82167,82823,83257,83576,83958,84331,TX
Longview,Texas,80565,81024,81190,81249,81253,81717,81378,80980,81191,81631,TX
Georgetown,Texas,48012,50310,52483,54831,58974,63533,67028,70640,74275,79604,TX
Cedar Park,Texas,55777,58840,61496,64800,67161,69556,72545,75559,76903,79462,TX
Flower Mound town,Texas,64864,65982,67764,68375,69525,70985,73533,76700,77562,79135,TX
Pharr,Texas,70778,72142,73327,74165,75348,76369,77363,78649,78925,79112,TX
Temple,Texas,66614,67124,68756,69544,70199,71786,73003,74377,76165,78439,TX
Baytown,Texas,71757,72500,73311,75334,75926,76286,76369,76693,76592,77192,TX
Missouri City,Texas,66905,67441,68107,69314,71076,73611,74359,74617,74834,75457,TX
Mansfield,Texas,57088,58331,59682,61228,62605,64705,66253,68841,70796,72419,TX
North Richland Hills,Texas,63479,64256,65254,67239,68424,69145,69973,70516,70686,70670,TX
Rowlett,Texas,56345,57011,57771,58090,58471,60355,62291,62992,66126,67339,TX
Victoria,Texas,62675,63113,64244,64964,65904,67154,67346,67019,66835,66916,TX
Pflugerville,Texas,48717,50273,51988,53813,54714,57241,59500,63260,64172,65380,TX
Harlingen,Texas,65102,65638,65786,65674,65510,65208,65229,65153,64996,65022,TX
San Marcos,Texas,45267,47687,50010,54403,58983,60446,61726,63526,63688,64776,TX
Leander,Texas,27709,29120,30636,32774,35280,39019,43788,49792,55924,62608,TX
Euless,Texas,51411,52052,52756,53140,53569,54163,54881,55252,57241,57197,TX
Grapevine,Texas,46610,47102,48427,50117,50772,51430,52055,53974,53809,55281,TX
Port Arthur,Texas,54500,54905,54563,54719,54529,55378,55566,55433,54889,54280,TX
Little Elm,Texas,26197,27709,29023,32916,35493,38438,42661,45988,49644,53126,TX
Wylie,Texas,42044,43597,44769,45352,46439,47348,48499,49536,51003,53067,TX
DeSoto,Texas,49344,50196,51216,51587,52046,52612,53088,53533,53254,52988,TX
Galveston,Texas,47793,47555,48100,48658,49251,49691,50186,50569,50396,50446,TX
Texas City,Texas,45284,45179,45577,45900,46383,47299,47994,48417,49078,50094,TX
Phoenix,Arizona,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992,AZ
Tucson,Arizona,527160,530709,531880,532945,534800,535607,537528,541377,544858,548073,AZ
Mesa,Arizona,440993,447681,456968,464803,473132,481811,490695,500021,507945,518012,AZ
Chandler,Arizona,236454,236834,237660,239888,240888,243679,247845,253599,257186,261165,AZ
Scottsdale,Arizona,217638,220816,225191,228887,233949,241073,247953,251396,254479,258069,AZ
Gilbert town,Arizona,209493,211466,215916,221626,227308,232401,237139,242695,249914,254114,AZ
Glendale,Arizona,226236,229304,233588,236869,239964,243103,245903,247784,249955,252381,AZ
Tempe,Arizona,162323,164477,168549,170740,175636,179114,184877,185792,191746,195805,AZ
Peoria,Arizona,154846,155014,155326,156354,157770,160431,164212,168192,172263,175961,AZ
Surprise,Arizona,117643,119617,122266,125035,127880,130336,132846,134781,137717,141664,AZ
Yuma,Arizona,91328,94241,93701,92998,93624,94155,95259,96399,97648,98285,AZ
Avondale,Arizona,76232,77279,78718,79745,80726,81924,83288,84742,85715,87931,AZ
Goodyear,Arizona,65502,66589,67822,70392,72346,74815,77412,79945,82873,86840,AZ
Buckeye,Arizona,51350,52486,54389,56603,59100,61633,64641,68534,74339,79620,AZ
Flagstaff,Arizona,66088,66071,67913,68090,68609,69966,71149,72037,73762,75038,AZ
Casa Grande,Arizona,48955,48904,49453,49777,51362,52687,54247,55695,57019,58632,AZ
Lake Havasu City,Arizona,52578,52789,52794,52786,53030,53399,53800,54380,55020,55865,AZ
Maricopa,Arizona,43686,43866,44030,44814,45543,46109,46914,48002,50028,52127,AZ
Queen Creek town,Arizona,27058,27602,28148,30424,33011,35534,38850,43227,47123,50890,AZ
Philadelphia,Pennsylvania,1528283,1540466,1551824,1558313,1565460,1571065,1576051,1580601,1583592,1584064,PA
Pittsburgh,Pennsylvania,305283,306012,306355,306902,305964,304070,304643,301494,300570,300286,PA
Allentown,Pennsylvania,118113,118782,118878,118826,119167,120071,120420,121047,121537,121442,PA
Erie,Pennsylvania,101719,101511,101290,100532,99714,99030,98211,97214,96298,95508,PA
Reading,Pennsylvania,88040,88195,88141,88264,88171,88047,88128,88134,88542,88375,PA
Scranton,Pennsylvania,76079,75926,76024,75831,75443,77149,77235,77214,77017,76653,PA
Bethlehem,Pennsylvania,74979,75061,75040,74852,74966,74966,75273,75546,75742,75815,PA
Lancaster,Pennsylvania,59277,59417,59406,59397,59411,59446,59486,59494,59407,59265,PA
Jacksonville,Florida,823114,829609,837013,842735,852494,865836,880520,892025,902437,911507,FL
Miami,Florida,400779,406593,411149,415661,425110,434738,449149,456617,462819,467963,FL
Tampa,Florida,337053,342589,348090,355172,362664,371464,380344,391026,397232,399700,FL
Orlando,Florida,239326,243620,249935,255135,262469,270786,278512,281804,285903,287442,FL
St. Petersburg,Florida,245222,245871,246656,248453,252225,255041,259266,262588,264466,265351,FL
Hialeah,Florida,225470,228127,230445,232316,232850,233872,234283,236314,234941,233339,FL
Port St. Lucie,Florida,164848,166283,167888,169405,172669,177695,183521,189119,194808,201846,FL
Tallahassee,Florida,181438,182997,186298,185602,187094,188645,188870,191655,192763,194500,FL
Cape Coral,Florida,154731,157330,160558,164336,168365,173572,178534,183701,189468,194495,FL
Fort Lauderdale,Florida,166126,169012,170909,172275,175153,177356,178837,179877,182101,182437,FL
Pembroke Pines,Florida,155265,158278,160245,162133,164065,165800,168321,170707,171975,173591,FL
Hollywood,Florida,141013,143421,144998,146038,146978,148313,151630,153371,154381,154817,FL
Miramar,Florida,122300,125059,128697,130120,134494,136476,138964,140215,140564,141191,FL
Gainesville,Florida,124681,125671,125993,126340,127571,129356,131580,132041,133665,133997,FL
Coral Springs,Florida,122887,125141,126682,127788,128847,130160,131753,133542,133712,133759,FL
Clearwater,Florida,109052,109204,109538,110279,111167,112939,114175,115482,116324,116946,FL
Palm Bay,Florida,104138,104131,104819,105329,106237,108160,110289,112217,113854,115552,FL
Lakeland,Florida,97640,98834,99000,100326,102034,103550,105837,107712,110421,112136,FL
Pompano Beach,Florida,100063,101756,102888,104183,105500,106937,109358,110354,111636,112118,FL
West Palm Beach,Florida,100813,101498,102526,103420,104314,106850,108740,110328,111058,111955,FL
Miami Gardens,Florida,107516,108859,110056,110842,110943,111561,111884,112220,111144,110001,FL
Davie town,Florida,92315,94455,95776,97599,99179,101229,103255,105136,106131,106306,FL
Boca Raton,Florida,85158,86460,87646,89689,91276,93498,96427,98236,99351,99805,FL
Sunrise,Florida,84548,86303,88582,89757,90661,91928,93668,94274,95219,95166,FL
Plantation,Florida,85331,86874,87928,90051,90968,91904,92767,93824,94019,94580,FL
Deltona,Florida,85096,84979,85139,85583,86295,87728,89314,90586,91718,92757,FL
Palm Coast,Florida,75499,76641,77363,78409,80027,81938,84155,86146,87660,89800,FL
Miami Beach,Florida,87722,88713,89566,90152,90184,90570,90652,90642,89808,88885,FL
Fort Myers,Florida,62503,63818,65504,67802,70449,73470,76752,80015,82229,87103,FL
Largo,Florida,79372,79480,79738,80422,80852,81903,84088,84686,84937,84948,FL
Melbourne,Florida,76363,76537,76854,77393,78276,79323,80656,81822,82603,83029,FL
Deerfield Beach,Florida,75178,76504,77395,78002,78565,79334,79972,80525,80666,81066,FL
Boynton Beach,Florida,68411,68905,70049,71305,73155,74005,75877,77711,77949,78679,FL
Kissimmee,Florida,59694,61323,63422,64921,66509,68633,69407,71446,73751,72717,FL
Lauderhill,Florida,67084,68246,69012,69531,70110,70901,71474,71915,71924,71868,FL
Weston,Florida,65591,66840,67702,68333,68926,69687,70324,70901,71030,71166,FL
North Port,Florida,57389,57726,58416,59113,60323,62244,64371,66272,68438,70724,FL
Homestead,Florida,61034,62214,63148,64246,65290,66192,68045,69124,69254,69523,FL
Delray Beach,Florida,60801,61495,62267,64177,65004,66203,67546,68708,69176,69451,FL
Daytona Beach,Florida,61626,61720,62199,62957,63560,64962,67076,68096,68709,69186,FL
Tamarac,Florida,60921,62019,62752,63262,63731,64499,65517,66148,66447,66721,FL
Jupiter town,Florida,55468,56214,57203,58501,60772,62810,64066,64888,65377,65791,FL
Doral,Florida,45953,47024,47877,50052,53643,55482,57704,60222,60762,65741,FL
Wellington village,Florida,56830,57506,58593,60303,61507,62605,64204,64793,65058,65398,FL
Port Orange,Florida,56627,56727,56978,57508,58983,60145,61454,63062,64055,64842,FL
North Miami,Florida,60322,60991,61553,61946,61903,62040,62018,61939,63481,62822,FL
Sanford,Florida,53971,54377,54937,56283,57643,58289,58968,59542,60107,61448,FL
Coconut Creek,Florida,53183,54324,55131,56920,58502,59202,59815,61070,61205,61248,FL
Ocala,Florida,56565,56707,56783,56804,57178,57719,58460,59091,60274,60786,FL
Bonita Springs,Florida,44075,45039,46342,47664,49367,51850,54400,56175,57398,59637,FL
Bradenton,Florida,49310,49642,50207,51175,52253,53838,55048,56686,57601,59439,FL
Margate,Florida,53242,54190,54820,55256,55664,56741,57832,58200,58495,58796,FL
Sarasota,Florida,52219,52527,52954,53149,54015,54956,56440,57185,57746,58285,FL
Palm Beach Gardens,Florida,50012,50563,51320,52221,53388,54437,55536,56360,57007,57704,FL
St. Cloud,Florida,37983,39474,41175,42504,44605,46742,48578,51700,54200,54579,FL
Pinellas Park,Florida,49532,49944,50202,50532,51410,51989,52615,52940,53157,53637,FL
Apopka,Florida,42407,43765,45103,46238,47796,49109,50486,52277,53557,53447,FL
Pensacola,Florida,52014,51848,52149,52270,52434,52473,52662,52525,52637,52975,FL
Coral Gables,Florida,46963,47613,49049,49762,50176,50275,50396,50628,50125,49700,FL
Columbus,Ohio,790943,800607,812740,827797,841673,854950,866894,881694,890869,898553,OH
Cleveland,Ohio,395926,392667,391550,391792,390871,389244,387662,385252,383214,381009,OH
Cincinnati,Ohio,296980,296187,296900,297905,298626,299439,299748,301587,302277,303940,OH
Toledo,Ohio,287065,285425,283185,282352,280712,279898,278897,276688,274864,272779,OH
Akron,Ohio,199081,199112,198969,198972,199008,198588,198068,198085,197884,197597,OH
Dayton,Ohio,142348,142000,141916,142035,141117,140819,140849,140372,140439,140407,OH
Parma,Ohio,81456,80961,80623,80453,80166,80037,79627,79103,78622,78103,OH
Canton,Ohio,73427,73181,73147,72915,72634,72173,71629,71156,70752,70447,OH
Youngstown,Ohio,66876,66556,66056,65470,65142,64687,64335,64540,64860,65469,OH
Lorain,Ohio,64076,63940,63756,63735,63773,63662,63729,63774,63984,63855,OH
Hamilton,Ohio,62345,62329,62234,62299,62414,62345,62250,62114,62132,62082,OH
Springfield,Ohio,60531,60267,60079,59872,59730,59449,58906,59168,59263,58877,OH
Kettering,Ohio,56131,56000,55925,55798,55552,55375,55244,55144,55014,54855,OH
Elyria,Ohio,54487,54322,54162,54115,54078,53917,53865,53781,53797,53757,OH
Newark,Ohio,47614,47720,47809,48034,48283,48592,48946,49471,50001,50315,OH
Lakewood,Ohio,52026,51662,51400,51257,51088,50811,50528,50211,50012,49678,OH
Charlotte,North Carolina,738444,754829,773264,792047,807400,825668,843117,860002,872514,885708,NC
Raleigh,North Carolina,406353,413958,423304,431391,439503,449546,459469,465776,469314,474069,NC
Greensboro,North Carolina,269598,272430,276041,279244,282261,284610,289182,291537,294518,296710,NC
Durham,North Carolina,230727,235341,241117,246992,253290,258647,265499,269844,274557,278993,NC
Winston-Salem,North Carolina,230022,231867,233867,235728,238478,239755,241776,244501,246535,247945,NC
Fayetteville,North Carolina,208337,208745,208884,211069,210076,209596,211065,209091,210748,211657,NC
Cary town,North Carolina,137086,142209,146154,151328,155439,159712,162477,165927,168042,170282,NC
Wilmington,North Carolina,106754,108141,109658,111686,113320,115050,118770,120836,122616,123744,NC
High Point,North Carolina,104710,105823,106567,107573,108797,110232,111533,111746,112073,112791,NC
Concord,North Carolina,79571,80725,82134,83416,85395,87490,89763,92164,94192,96341,NC
Greenville,North Carolina,85096,86269,87625,88847,89242,90499,90966,92008,92689,93400,NC
Asheville,North Carolina,83459,84457,85321,86355,87837,89374,91123,91748,92630,92870,NC
Gastonia,North Carolina,71707,71871,72503,72789,73183,74009,74963,76307,76885,77273,NC
Jacksonville,North Carolina,78089,75194,76365,75681,74217,74306,72745,72800,72775,72436,NC
Chapel Hill town,North Carolina,57406,57370,58650,58860,59120,59046,59654,58918,63367,64051,NC
Apex town,North Carolina,37991,38999,40659,42388,44064,45652,47543,50524,53859,59300,NC
Huntersville town,North Carolina,47103,48184,49424,50673,51728,52973,55273,56385,57212,58098,NC
Burlington,North Carolina,51172,51169,51198,51314,51475,51867,52180,53121,53911,54606,NC
Rocky Mount,North Carolina,57680,57401,56735,56300,55880,55003,54992,54634,54232,53922,NC
Kannapolis,North Carolina,42699,43169,43769,44385,45310,46311,47577,48774,49770,50841,NC
Indianapolis,Indiana,821579,827664,835499,844696,850164,853714,859049,863478,870960,876384,IN
Fort Wayne,Indiana,254161,256293,257626,259333,260570,262109,263513,265128,267460,270402,IN
Evansville,Indiana,120091,120216,120266,120295,120153,119487,119004,118331,118060,117979,IN
South Bend,Indiana,101197,101224,101056,101226,101489,101687,101996,102021,101971,102026,IN
Carmel,Indiana,84508,86508,88566,90947,91569,92998,96114,97400,99143,101068,IN
Fishers,Indiana,77832,80503,82389,84416,86865,88656,89809,91606,93407,95310,IN
Bloomington,Indiana,80612,81497,82160,82457,83162,83596,84387,84837,85139,85755,IN
Hammond,Indiana,80718,80220,79648,79009,78586,77688,77151,76489,75877,75522,IN
Gary,Indiana,80155,79645,79128,78518,77985,77128,76450,75775,75210,74879,IN
Lafayette,Indiana,68925,69916,70163,70976,71012,71143,71960,72110,72233,71721,IN
Muncie,Indiana,70193,70406,69757,69710,69606,69121,69148,68854,68115,67999,IN
Noblesville,Indiana,52909,54248,55542,56849,57725,58741,60304,61874,63303,64668,IN
Terre Haute,Indiana,60787,60993,61176,60921,60785,60596,60683,60816,60775,60622,IN
Greenwood,Indiana,51159,52031,52800,53658,54452,55272,56352,57356,58701,59458,IN
Kokomo,Indiana,58193,58208,58212,58204,58158,57980,57762,57858,57922,58020,IN
Anderson,Indiana,56065,55798,55441,55465,55252,55020,54985,54898,54883,54765,IN
Elkhart,Indiana,51841,51905,51975,52157,52285,52505,52475,52372,52373,52358,IN
West Lafayette,Indiana,42052,42526,43227,43666,44975,46174,47503,47504,49019,50996,IN
Mishawaka,Indiana,48203,48106,48045,48111,48260,48279,48814,48984,49810,50363,IN
Seattle,Washington,610630,622694,635928,653588,670109,687386,709631,728661,742235,753675,WA
Spokane,Washington,209525,209042,209304,210036,211095,212545,215191,217415,219332,222081,WA
Tacoma,Washington,198230,199519,201537,202127,203740,206784,210248,213417,216111,217827,WA
Vancouver,Washington,167595,169046,170035,171565,173406,176409,178621,180360,182887,184463,WA
Bellevue,Washington,128357,130196,132074,133688,136275,139757,141758,145273,147064,148164,WA
Kent,Washington,119067,122165,124739,126118,127727,129241,130508,131697,131734,132319,WA
Everett,Washington,103173,103445,104436,105048,106460,107077,108931,110169,111088,111475,WA
Renton,Washington,92351,94131,95941,97090,98588,100455,101513,101981,101787,101751,WA
Spokane Valley,Washington,90047,90665,90659,91240,92569,94163,95652,97570,99308,101060,WA
Federal Way,Washington,89556,90664,91913,92632,93421,95254,97131,97274,96726,96289,WA
Yakima,Washington,91637,92605,92654,92713,92790,92953,93429,93500,93548,93637,WA
Kirkland,Washington,80866,82036,83358,84455,85971,87312,87990,89010,89909,93010,WA
Bellingham,Washington,81297,81859,82299,82593,83386,84998,86954,89031,90464,92314,WA
Kennewick,Washington,74447,75585,75930,76579,77339,78724,80081,81621,82696,84347,WA
Auburn,Washington,70560,71748,73474,74924,76198,77479,78725,81333,81789,81464,WA
Pasco,Washington,62928,65539,67673,68398,69500,70330,71514,72810,74485,75432,WA
Redmond,Washington,54731,55674,56741,57606,59416,60770,62794,64872,67436,71929,WA
Marysville,Washington,60193,61243,62297,63135,64919,66558,67586,68897,69606,70298,WA
Sammamish,Washington,57656,58726,59973,61006,62174,63266,63817,64929,65495,65892,WA
Lakewood,Washington,57600,57945,58110,58144,58580,58885,59747,60316,60511,61037,WA
Richland,Washington,48876,50622,51767,52549,53248,54412,55095,56656,57533,58225,WA
Shoreline,Washington,53180,53762,54459,54802,55249,55592,55687,56521,56557,57027,WA
Olympia,Washington,47067,47696,48089,48473,49327,49849,50732,51660,52508,52882,WA
Lacey,Washington,42708,43423,43947,44761,45271,46071,47309,49632,50600,52592,WA
Burien,Washington,48224,48786,49511,49915,50304,50664,51377,51992,51731,51500,WA
Denver,Colorado,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211,CO
Colorado Springs,Colorado,420685,427434,432782,438146,442361,449572,458714,465167,472567,478221,CO
Aurora,Colorado,326055,332730,339261,345613,352660,360098,363277,367574,374572,379289,CO
Fort Collins,Colorado,145268,146673,149508,152668,156804,160991,163004,165541,168324,170243,CO
Lakewood,Colorado,142759,144087,145396,146878,149434,152052,154039,154966,156682,157935,CO
Thornton,Colorado,119391,121911,124361,127022,129479,132176,134574,136777,139352,141464,CO
Arvada,Colorado,106917,108084,110229,111872,113692,115406,117710,118950,120421,121272,CO
Westminster,Colorado,106434,107739,109083,110422,111517,112420,112984,112961,113227,113166,CO
Pueblo,Colorado,106755,107146,107476,107670,107823,108955,110118,111059,111725,112361,CO
Centennial,Colorado,100989,102508,104249,106634,107438,109120,109735,110388,110814,110937,CO
Greeley,Colorado,93308,94466,95597,96848,99055,101763,104751,106780,107475,108649,CO
Boulder,Colorado,97752,100137,101160,102719,104451,106742,107128,106447,106008,105673,CO
Longmont,Colorado,86440,87691,88903,90221,90623,92280,93269,94637,96536,97261,CO
Loveland,Colorado,67157,69321,70384,71337,72514,74886,76399,76880,77752,78877,CO
Broomfield,Colorado,56226,57493,58971,60149,61764,64866,66513,68263,69324,70465,CO
Castle Rock town,Colorado,48586,49693,51017,52657,55154,57175,59284,62297,65000,68484,CO
Grand Junction,Colorado,58846,59475,59660,59809,59643,60389,61236,61995,63131,63597,CO
Commerce City,Colorado,46128,47507,48504,49717,51468,53161,54523,55925,58324,60336,CO
Parker town,Colorado,45540,46116,47054,48364,49508,51112,52714,54261,55813,57706,CO
Washington,District of Columbia,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,DC
Boston,Massachusetts,621048,630505,642955,653002,662855,670491,679848,687788,691147,692600,MA
Worcester,Massachusetts,181759,182387,182575,183327,184559,184627,184859,185325,185555,185428,MA
Springfield,Massachusetts,153569,153773,153933,154056,154376,154582,154028,154207,154329,153606,MA
Cambridge,Massachusetts,105008,105884,107886,112036,112993,113471,115685,116869,118151,118927,MA
Lowell,Massachusetts,106782,107774,108803,109757,110537,111142,111226,111738,111362,110997,MA
Brockton,Massachusetts,93809,94117,94050,94361,94858,95425,95441,95682,95723,95708,MA
New Bedford,Massachusetts,95059,94896,94998,95065,95121,95128,95135,95083,95371,95363,MA
Quincy,Massachusetts,92457,92544,92973,93470,93685,93766,94130,94322,94403,94470,MA
Lynn,Massachusetts,90532,90709,91437,92025,92565,93057,93185,93915,94336,94299,MA
Fall River,Massachusetts,88882,88827,88852,88992,89148,89258,89287,89298,89630,89541,MA
Newton,Massachusetts,85373,85827,87029,87479,88269,88588,88569,88836,88641,88414,MA
Somerville,Massachusetts,75877,76710,77620,78573,78991,79715,80936,81204,81357,81360,MA
Lawrence,Massachusetts,76551,77260,77910,78382,79182,79699,79818,80003,80112,80028,MA
Framingham,Massachusetts,68665,69656,70061,70411,70786,70938,71459,71784,72909,74416,MA
Haverhill,Massachusetts,60999,61505,61860,62272,62605,62861,63200,63664,63926,64014,MA
Waltham,Massachusetts,60889,61382,62047,62327,63114,63003,62939,62822,62563,62495,MA
Malden,Massachusetts,59691,60131,60591,60938,61217,61383,61276,61079,60735,60470,MA
Weymouth Town,Massachusetts,53828,54177,55058,55452,55725,55798,55924,56695,57511,57746,MA
Taunton,Massachusetts,55851,55876,55990,56109,56659,56838,56939,56982,57365,57464,MA
Medford,Massachusetts,56400,56824,57255,57399,57551,57792,57820,57772,57554,57341,MA
Chicopee,Massachusetts,55306,55630,55840,55923,56274,55820,55342,55336,55424,55126,MA
Revere,Massachusetts,51845,52628,53241,53694,53802,53960,53942,54071,53483,53073,MA
Peabody,Massachusetts,51399,51632,51904,52224,52463,52629,52759,52948,53092,53070,MA
Methuen Town,Massachusetts,47445,47798,48129,48706,49384,49797,49953,50308,50565,50706,MA
Nashville-Davidson metropolitan government (balance),Tennessee,604589,612518,625550,635999,645259,655498,661765,663587,667006,670820,TN
Memphis,Tennessee,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073,TN
Knoxville,Tennessee,178258,179955,181093,181779,182631,184046,184986,186905,187362,187603,TN
Chattanooga,Tennessee,170574,172341,173972,175325,175321,176400,177746,179530,181918,182799,TN
Clarksville,Tennessee,133486,136104,142652,142281,145899,148147,149162,152917,156376,158146,TN
Murfreesboro,Tennessee,109572,111901,114141,117042,120808,125958,131409,136217,141442,146900,TN
Franklin,Tennessee,62820,64357,66359,68876,70620,72573,74695,78265,81027,83097,TN
Jackson,Tennessee,66814,66726,67018,67467,67112,66760,66718,66748,66952,67191,TN
Johnson City,Tennessee,63528,63951,64370,64706,65106,65497,66140,66164,66759,66906,TN
Bartlett,Tennessee,57030,57388,58224,58231,58353,58665,58887,59101,59403,59440,TN
Hendersonville,Tennessee,51485,52283,52919,53824,54851,55597,56563,57560,57634,58113,TN
Kingsport,Tennessee,52953,52924,52739,52817,52822,52757,52521,53487,54006,54127,TN
Smyrna town,Tennessee,40568,41407,42128,43517,45731,46941,48515,49910,50748,51586,TN
Collierville town,Tennessee,45661,45949,46438,47359,48754,48984,49462,50252,50671,51040,TN
Detroit,Michigan,711131,705118,700183,691868,682609,679410,677143,674631,672977,670031,MI
Grand Rapids,Michigan,188007,189104,190821,192982,194335,195056,196556,199135,200136,201013,MI
Warren,Michigan,134081,134173,134590,135312,135666,135386,135245,135100,134376,133943,MI
Sterling Heights,Michigan,129709,130042,130672,131521,132136,132041,132522,132681,132725,132438,MI
Ann Arbor,Michigan,114173,115539,116079,116820,118716,119884,120919,121493,121429,119980,MI
Lansing,Michigan,114321,114559,114661,114734,115093,115324,116569,117730,117931,118210,MI
Flint,Michigan,102035,101256,100233,99479,98617,97823,97110,96460,95926,95538,MI
